Year,Round,RaceName,Driver,Team,FinishPosition,GridPosition,Points,Status,Laps,QualiPosition,AvgLapTime,Finished,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Avg_Position_Last5,Driver_Avg_Position_Last3,Team_Avg_Position_Last5,Driver_Finish_Rate,Driver_Circuit_Avg,Team_Circuit_Avg,Quali_Grid_Diff,Quali_vs_Teammate,Race_Number_In_Season,Driver_Race_Count,Team_Championship_Points
2021,2,Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,3.0,25.0,Finished,63.0,3.0,83.39079629629632,1,33,14,10,2.0,2.0,3.5,1.0,10.488898563343492,10.488898563343492,0.0,0.5,2,2,53.0
2021,2,Emilia Romagna Grand Prix,HAM,Mercedes,2.0,1.0,19.0,Finished,63.0,1.0,83.83730188679245,1,12,11,10,1.0,1.0,2.0,1.0,10.488898563343492,10.488898563343492,0.0,-3.5,2,2,60.0
2021,2,Emilia Romagna Grand Prix,NOR,McLaren,3.0,7.0,15.0,Finished,63.0,7.0,84.5164716981132,1,22,10,10,4.0,4.0,5.5,1.0,10.488898563343492,10.488898563343492,0.0,0.5,2,2,41.0
2021,2,Emilia Romagna Grand Prix,LEC,Ferrari,4.0,4.0,12.0,Finished,63.0,4.0,83.9196603773585,1,17,7,10,6.0,6.0,7.0,1.0,10.488898563343492,10.488898563343492,0.0,-3.5,2,2,34.0
2021,2,Emilia Romagna Grand Prix,SAI,Ferrari,5.0,11.0,10.0,Finished,63.0,11.0,84.26771153846154,1,29,7,10,8.0,8.0,6.0,1.0,10.488898563343492,4.0,0.0,3.5,2,2,34.0
2021,2,Emilia Romagna Grand Prix,RIC,McLaren,6.0,6.0,8.0,Finished,63.0,6.0,85.35805660377358,1,27,10,10,7.0,7.0,4.666666666666667,1.0,10.488898563343492,3.0,0.0,-0.5,2,2,41.0
2021,2,Emilia Romagna Grand Prix,GAS,AlphaTauri,7.0,5.0,6.0,Finished,63.0,5.0,86.03872549019604,1,9,2,10,17.0,17.0,13.0,0.0,10.488898563343492,10.488898563343492,0.0,-7.5,2,2,8.0
2021,2,Emilia Romagna Grand Prix,STR,Aston Martin,8.0,10.0,4.0,Finished,63.0,10.0,85.931320754717,1,31,4,10,10.0,10.0,12.5,1.0,10.488898563343492,10.488898563343492,0.0,-1.5,2,2,5.0
2021,2,Emilia Romagna Grand Prix,OCO,Alpine,9.0,9.0,2.0,Finished,63.0,9.0,86.09411538461539,1,23,3,10,13.0,13.0,16.0,0.0,10.488898563343492,10.488898563343492,0.0,-3.0,2,2,3.0
2021,2,Emilia Romagna Grand Prix,ALO,Alpine,10.0,15.0,1.0,Finished,63.0,15.0,86.35730769230767,1,1,3,10,19.0,19.0,13.666666666666666,0.0,10.488898563343492,9.0,0.0,3.0,2,2,3.0
2021,2,Emilia Romagna Grand Prix,PER,Red Bull Racing,11.0,2.0,0.0,Finished,63.0,2.0,85.11428301886792,1,24,14,10,5.0,5.0,2.6666666666666665,1.0,10.488898563343492,1.0,0.0,-0.5,2,2,53.0
2021,2,Emilia Romagna Grand Prix,TSU,AlphaTauri,12.0,20.0,0.0,Finished,63.0,20.0,85.06786,1,32,2,10,9.0,9.0,11.0,1.0,10.488898563343492,7.0,0.0,7.5,2,2,8.0
2021,2,Emilia Romagna Grand Prix,RAI,Alfa Romeo Racing,13.0,16.0,0.0,Finished,63.0,16.0,85.44750980392158,1,26,1,10,11.0,11.0,11.5,1.0,10.488898563343492,10.488898563343492,0.0,-0.5,2,2,0.0
2021,2,Emilia Romagna Grand Prix,GIO,Alfa Romeo Racing,14.0,17.0,0.0,+1 Lap,62.0,17.0,86.55172549019609,0,10,1,10,12.0,12.0,12.0,0.0,10.488898563343492,13.0,0.0,0.5,2,2,0.0
2021,2,Emilia Romagna Grand Prix,VET,Aston Martin,15.0,0.0,0.0,Gearbox,61.0,13.0,86.53514285714286,0,34,4,10,15.0,15.0,11.0,0.0,10.488898563343492,8.0,13.0,1.5,2,2,5.0
2021,2,Emilia Romagna Grand Prix,MSC,Haas F1 Team,16.0,18.0,0.0,+2 Laps,61.0,18.0,86.74461999999998,0,21,8,10,16.0,16.0,18.0,0.0,10.488898563343492,10.488898563343492,0.0,-0.5,2,2,0.0
2021,2,Emilia Romagna Grand Prix,MAZ,Haas F1 Team,17.0,19.0,0.0,+2 Laps,61.0,19.0,88.92014285714285,0,20,8,10,20.0,20.0,17.333333333333332,0.0,10.488898563343492,16.0,0.0,0.5,2,2,0.0
2021,2,Emilia Romagna Grand Prix,BOT,Mercedes,18.0,8.0,0.0,Collision,30.0,8.0,92.23178260869564,0,5,11,10,3.0,3.0,2.0,1.0,10.488898563343492,2.0,0.0,3.5,2,2,60.0
2021,2,Emilia Romagna Grand Prix,RUS,Williams,19.0,12.0,0.0,Collision,30.0,12.0,92.29099999999998,0,28,15,10,14.0,14.0,16.0,0.0,10.488898563343492,10.488898563343492,0.0,-1.0,2,2,0.0
2021,2,Emilia Romagna Grand Prix,LAT,Williams,20.0,14.0,0.0,Collision,0.0,14.0,85.931320754717,0,15,15,10,18.0,18.0,17.0,0.0,10.488898563343492,19.0,0.0,1.0,2,2,0.0
2021,3,Portuguese Grand Prix,HAM,Mercedes,1.0,2.0,25.0,Finished,66.0,2.0,82.16681666666669,1,12,11,19,1.5,1.5,6.0,1.0,10.488898563343492,10.488898563343492,0.0,0.5,3,3,101.0
2021,3,Portuguese Grand Prix,VER,Red Bull Racing,2.0,3.0,18.0,Finished,66.0,3.0,82.31305084745763,1,33,14,19,1.5,1.5,4.75,1.0,10.488898563343492,10.488898563343492,0.0,-0.5,3,3,83.0
2021,3,Portuguese Grand Prix,BOT,Mercedes,3.0,1.0,16.0,Finished,66.0,1.0,82.32116949152544,1,5,11,19,10.5,10.5,5.0,0.5,10.488898563343492,1.0,0.0,-0.5,3,3,101.0
2021,3,Portuguese Grand Prix,PER,Red Bull Racing,4.0,4.0,12.0,Finished,66.0,4.0,82.85539999999999,1,24,14,19,8.0,8.0,4.2,1.0,10.488898563343492,2.0,0.0,0.5,3,3,83.0
2021,3,Portuguese Grand Prix,NOR,McLaren,5.0,7.0,10.0,Finished,66.0,7.0,83.06343333333334,1,22,10,19,3.5,3.5,5.0,1.0,10.488898563343492,10.488898563343492,0.0,-4.5,3,3,53.0
2021,3,Portuguese Grand Prix,LEC,Ferrari,6.0,8.0,8.0,Finished,66.0,8.0,83.14450000000001,1,17,7,19,5.0,5.0,5.75,1.0,10.488898563343492,10.488898563343492,0.0,1.5,3,3,42.0
2021,3,Portuguese Grand Prix,OCO,Alpine,7.0,6.0,6.0,Finished,66.0,6.0,83.25085,1,23,3,19,11.0,11.0,12.75,0.5,10.488898563343492,10.488898563343492,0.0,-3.5,3,3,13.0
2021,3,Portuguese Grand Prix,ALO,Alpine,8.0,13.0,4.0,Finished,66.0,13.0,83.33528333333332,1,1,3,19,14.5,14.5,11.6,0.5,10.488898563343492,7.0,0.0,3.5,3,3,13.0
2021,3,Portuguese Grand Prix,RIC,McLaren,9.0,16.0,2.0,Finished,66.0,16.0,83.47816666666668,1,27,10,19,6.5,6.5,5.0,1.0,10.488898563343492,5.0,0.0,4.5,3,3,53.0
2021,3,Portuguese Grand Prix,GAS,AlphaTauri,10.0,9.0,1.0,Finished,66.0,9.0,83.50435,1,9,2,19,12.0,12.0,11.25,0.5,10.488898563343492,10.488898563343492,0.0,-2.5,3,3,9.0
2021,3,Portuguese Grand Prix,SAI,Ferrari,11.0,5.0,0.0,Finished,66.0,5.0,83.53168333333335,1,29,7,19,6.5,6.5,5.8,1.0,10.488898563343492,6.0,0.0,-1.5,3,3,42.0
2021,3,Portuguese Grand Prix,GIO,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,65.0,12.0,83.66859322033899,0,10,1,19,13.0,13.0,12.5,0.0,10.488898563343492,10.488898563343492,0.0,-1.5,3,3,0.0
2021,3,Portuguese Grand Prix,VET,Aston Martin,13.0,10.0,0.0,+1 Lap,65.0,10.0,83.77084745762711,0,34,4,19,15.0,15.0,12.0,0.0,10.488898563343492,10.488898563343492,0.0,-3.5,3,3,5.0
2021,3,Portuguese Grand Prix,STR,Aston Martin,14.0,17.0,0.0,+1 Lap,65.0,17.0,83.8217966101695,0,31,4,19,9.0,9.0,12.2,1.0,10.488898563343492,13.0,0.0,3.5,3,3,5.0
2021,3,Portuguese Grand Prix,TSU,AlphaTauri,15.0,14.0,0.0,+1 Lap,65.0,14.0,84.05615254237289,0,32,2,19,10.5,10.5,11.0,1.0,10.488898563343492,10.0,0.0,2.5,3,3,9.0
2021,3,Portuguese Grand Prix,RUS,Williams,16.0,11.0,0.0,+1 Lap,65.0,11.0,84.76818644067795,0,28,15,19,16.5,16.5,17.75,0.0,10.488898563343492,10.488898563343492,0.0,-3.5,3,3,0.0
2021,3,Portuguese Grand Prix,MSC,Haas F1 Team,17.0,19.0,0.0,+2 Laps,64.0,19.0,85.16506896551725,0,21,8,19,16.0,16.0,17.25,0.0,10.488898563343492,10.488898563343492,0.0,-0.5,3,3,0.0
2021,3,Portuguese Grand Prix,LAT,Williams,18.0,18.0,0.0,+2 Laps,64.0,18.0,85.2581379310345,0,15,15,19,19.0,19.0,17.4,0.0,10.488898563343492,16.0,0.0,3.5,3,3,0.0
2021,3,Portuguese Grand Prix,MAZ,Haas F1 Team,19.0,20.0,0.0,+2 Laps,64.0,20.0,85.76759649122806,0,20,8,19,18.5,18.5,17.2,0.0,10.488898563343492,17.0,0.0,0.5,3,3,0.0
2021,3,Portuguese Grand Prix,RAI,Alfa Romeo Racing,20.0,15.0,0.0,Collision damage,1.0,15.0,93.673,0,26,1,19,12.0,12.0,12.4,1.0,10.488898563343492,12.0,0.0,1.5,3,3,0.0
2021,4,Spanish Grand Prix,HAM,Mercedes,1.0,1.0,25.0,Finished,66.0,1.0,82.53382258064515,1,12,11,24,1.3333333333333333,1.3333333333333333,5.4,1.0,10.488898563343492,10.488898563343492,0.0,-1.0,4,4,141.0
2021,4,Spanish Grand Prix,VER,Red Bull Racing,2.0,2.0,19.0,Finished,66.0,2.0,82.6751935483871,1,33,14,24,1.6666666666666667,1.6666666666666667,4.6,1.0,10.488898563343492,10.488898563343492,0.0,-3.0,4,4,112.0
2021,4,Spanish Grand Prix,BOT,Mercedes,3.0,3.0,15.0,Finished,66.0,3.0,83.14401612903227,1,5,11,24,8.0,8.0,5.0,0.6666666666666666,10.488898563343492,1.0,0.0,1.0,4,4,141.0
