Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2021,14,Italian Grand Prix,OCO,Alpine,13.0,14.0,0.0,Finished,18.0,1,13.0,86.19646666666668,,0.0,23,3,13,10.0,9.333333333333334,10.8,170.0
2021,14,Italian Grand Prix,LAT,Williams,14.0,16.0,0.0,Finished,18.0,1,14.0,86.34779999999999,,0.0,15,15,13,17.0,13.0,15.8,124.0
2021,14,Italian Grand Prix,RUS,Williams,15.0,15.0,0.0,Finished,18.0,1,15.0,86.32153333333335,,0.0,28,15,13,9.0,13.333333333333334,3.6,124.0
2021,14,Italian Grand Prix,TSU,AlphaTauri,16.0,17.0,0.0,Finished,18.0,1,16.0,86.48559999999999,,0.0,32,2,13,16.0,14.0,12.8,142.0
2021,14,Italian Grand Prix,MAZ,Haas F1 Team,17.0,20.0,0.0,Finished,18.0,1,17.0,87.38613333333333,,0.0,20,8,13,19.0,18.5,17.75,73.0
2021,14,Italian Grand Prix,KUB,Alfa Romeo Racing,18.0,19.0,0.0,Finished,18.0,1,18.0,87.5232,,0.0,14,1,13,10.480167014613778,12.0,14.5,13.0
2021,14,Italian Grand Prix,MSC,Haas F1 Team,19.0,18.0,0.0,Finished,18.0,1,19.0,87.63833333333334,,0.0,21,8,13,18.0,18.0,15.4,73.0
2021,14,Italian Grand Prix,GAS,AlphaTauri,20.0,6.0,0.0,Accident,0.0,0,20.0,86.00693333333334,80.26,0.0,9,2,13,12.0,14.666666666666666,13.6,142.0
2021,19,São Paulo Grand Prix,BOT,Mercedes,1.0,2.0,3.0,Finished,24.0,1,1.0,72.76582608695652,68.469,-0.012512702276788,5,11,26,2.0,3.0,15.8,604.5
2021,19,São Paulo Grand Prix,VER,Red Bull Racing,2.0,1.0,2.0,Finished,24.0,1,2.0,72.74017391304348,68.372,-0.0114492650068785,33,14,26,1.5,10.333333333333334,2.4,790.0
2021,19,São Paulo Grand Prix,SAI,Ferrari,3.0,5.0,1.0,Finished,24.0,1,3.0,73.51991304347827,68.826,-0.0075180949662829,29,7,26,9.0,8.0,9.8,595.0
2021,19,São Paulo Grand Prix,PER,Red Bull Racing,4.0,3.0,0.0,Finished,24.0,1,4.0,73.49643478260872,68.483,-0.0028497969915057,24,14,26,14.5,4.333333333333333,14.8,790.0
2021,19,São Paulo Grand Prix,HAM,Mercedes,5.0,20.0,0.0,Finished,24.0,1,5.0,73.33352173913043,67.934,0.0029296468502734,12,11,26,3.5,2.3333333333333335,10.0,604.5
2021,19,São Paulo Grand Prix,NOR,McLaren,6.0,7.0,0.0,Finished,24.0,1,6.0,73.57621739130437,68.98,-0.008996065125998,22,10,26,4.5,4.333333333333333,6.4,775.0
2021,19,São Paulo Grand Prix,LEC,Ferrari,7.0,6.0,0.0,Finished,24.0,1,7.0,73.69252173913046,68.96,-0.0071347601755411,17,7,26,5.0,5.333333333333333,7.6,595.0
2021,19,São Paulo Grand Prix,GAS,AlphaTauri,8.0,4.0,0.0,Finished,24.0,1,8.0,74.04565217391304,68.777,0.0002938594881471,9,2,26,16.0,17.333333333333332,13.6,142.0
2021,19,São Paulo Grand Prix,OCO,Alpine,9.0,10.0,0.0,Finished,24.0,1,9.0,74.04682608695653,,0.0,23,3,26,11.5,11.333333333333334,10.8,170.0
2021,19,São Paulo Grand Prix,VET,Aston Martin,10.0,11.0,0.0,Finished,24.0,1,10.0,74.04760869565217,,0.0,34,4,26,10.0,12.0,9.8,266.0
2021,19,São Paulo Grand Prix,RIC,McLaren,11.0,8.0,0.0,Finished,24.0,1,11.0,74.05291304347827,69.039,-0.0034161437611262,27,10,26,4.5,4.333333333333333,13.2,775.0
2021,19,São Paulo Grand Prix,ALO,Alpine,12.0,9.0,0.0,Finished,24.0,1,12.0,74.06182608695653,69.113,-0.0043713369251934,1,3,26,9.0,11.0,11.2,170.0
2021,19,São Paulo Grand Prix,GIO,Alfa Romeo Racing,13.0,14.0,0.0,Finished,24.0,1,13.0,74.29134782608696,,0.0,10,1,26,11.5,13.666666666666666,13.2,13.0
2021,19,São Paulo Grand Prix,STR,Aston Martin,14.0,15.0,0.0,Finished,24.0,1,14.0,74.33630434782609,,0.0,31,4,26,12.0,10.666666666666666,15.6,266.0
2021,19,São Paulo Grand Prix,TSU,AlphaTauri,15.0,12.0,0.0,Finished,24.0,1,15.0,74.43417391304348,,0.0,32,2,26,16.0,14.666666666666666,12.8,142.0
2021,19,São Paulo Grand Prix,LAT,Williams,16.0,16.0,0.0,Finished,24.0,1,16.0,74.42782608695653,,0.0,15,15,26,15.5,15.333333333333334,15.8,124.0
2021,19,São Paulo Grand Prix,RUS,Williams,17.0,17.0,0.0,Finished,24.0,1,17.0,74.43626086956522,,0.0,28,15,26,12.0,15.0,3.6,124.0
2021,19,São Paulo Grand Prix,RAI,Alfa Romeo Racing,18.0,13.0,0.0,Finished,24.0,1,18.0,74.64052173913043,,0.0,26,1,26,13.0,13.0,13.6,13.0
2021,19,São Paulo Grand Prix,MSC,Haas F1 Team,19.0,18.0,0.0,Finished,24.0,1,19.0,75.02882608695653,,0.0,21,8,26,18.5,18.333333333333332,15.4,73.0
2021,19,São Paulo Grand Prix,MAZ,Haas F1 Team,20.0,19.0,0.0,Finished,24.0,1,20.0,75.22669565217392,,0.0,20,8,26,18.0,18.333333333333332,17.75,73.0
2022,4,Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,1.0,8.0,Finished,21.0,1,1.0,79.53070588235293,87.999,-0.0079137674568868,33,14,10,1.6666666666666667,5.0,2.4,790.0
2022,4,Emilia Romagna Grand Prix,LEC,Ferrari,2.0,2.0,7.0,Finished,21.0,1,2.0,79.74399999999999,88.778,-0.0140222393699785,17,7,10,5.666666666666667,5.666666666666667,7.6,595.0
2022,4,Emilia Romagna Grand Prix,PER,Red Bull Racing,3.0,7.0,6.0,Finished,21.0,1,3.0,79.70864705882352,89.808,-0.0260040723478015,24,14,10,11.0,2.3333333333333335,14.8,790.0
2022,4,Emilia Romagna Grand Prix,SAI,Ferrari,4.0,10.0,5.0,Finished,21.0,1,4.0,80.3845294117647,,0.0,29,7,10,7.0,4.0,9.8,595.0
